node_a,node_b,relation
896,2034,equivalent
2331,1137,incomparable
1114,3425,weaker
2643,2163,weaker
4059,1024,incomparable
4417,732,stronger
2332,2301,weaker
4303,1384,incomparable
3427,3965,weaker
3112,2641,stronger
3695,747,stronger
3671,161,incomparable
491,1167,incomparable
49,822,incomparable
1083,2799,incomparable
1284,803,equivalent
2478,783,stronger
869,4533,incomparable
4274,3083,incomparable
2104,4514,weaker
1503,3358,weaker
1472,1039,incomparable
1816,1603,incomparable
1902,623,incomparable
790,4617,weaker
2173,1086,incomparable
4007,460,incomparable
2608,1014,weaker
2050,2184,stronger
204,2049,incomparable
727,104,incomparable
3368,4674,weaker
1487,3764,incomparable
2669,4673,incomparable
1227,4591,incomparable
3335,2282,incomparable
2445,2713,stronger
4446,4479,incomparable
344,3749,weaker
1120,3970,incomparable
2395,906,weaker
3419,475,stronger
387,4385,incomparable
1383,408,incomparable
1171,2215,stronger
3831,2863,incomparable
4689,1204,stronger
4656,1256,incomparable
2428,265,weaker
1325,3621,incomparable
628,4447,incomparable
3116,2359,incomparable
3587,3442,stronger
3358,172,incomparable
3499,1343,stronger
1266,8,weaker
1637,4647,incomparable
1318,1861,incomparable
3018,4453,weaker
1227,53,incomparable
3195,1871,incomparable
1791,2081,weaker
3095,4673,weaker
2981,1353,weaker
813,413,weaker
2903,3914,incomparable
3239,76,equivalent
3688,2154,stronger
3893,3340,incomparable
627,1162,stronger
522,2866,incomparable
1270,1039,incomparable
3462,121,stronger
4399,4609,incomparable
1794,3668,weaker
407,4047,stronger
3275,1426,incomparable
2080,3473,incomparable
1101,2923,incomparable
75,2527,stronger
3886,2519,incomparable
419,85,stronger
1339,994,weaker
2934,2072,weaker
611,4227,weaker
1922,820,incomparable
960,4381,incomparable
402,1609,stronger
4384,3146,stronger
2180,2549,stronger
3281,86,incomparable
607,3704,weaker
1185,1466,weaker
2324,1739,equivalent
3382,892,stronger
3153,3284,weaker
1739,2806,equivalent
2506,3473,incomparable
2480,2252,stronger
1706,414,weaker
2592,2493,incomparable
1979,3956,incomparable
4426,1867,incomparable
4164,1867,incomparable
2144,4023,weaker
4045,4619,weaker
514,480,equivalent
3666,1590,incomparable
2193,2195,weaker
1522,1990,equivalent
2905,4121,weaker
2624,2381,weaker
2115,60,incomparable
4157,1827,stronger
1158,1713,equivalent
3035,969,equivalent
4461,4682,incomparable
2773,1723,equivalent
1064,1297,stronger
2815,2134,weaker
998,2929,equivalent
3608,1770,stronger
1829,2857,weaker
1791,2565,equivalent
639,3750,incomparable
949,34,incomparable
2860,564,stronger
3330,1267,incomparable
680,1307,incomparable
4188,3742,weaker
162,3596,incomparable
74,1497,equivalent
1528,650,incomparable
626,2010,stronger
1500,2766,equivalent
2625,3141,equivalent
1978,3330,weaker
2623,2314,incomparable
4170,2412,stronger
746,614,weaker
1150,4639,incomparable
2089,128,stronger
2278,3033,stronger
3897,3943,incomparable
2034,229,weaker
581,3930,weaker
4382,3234,stronger
3150,518,stronger
1164,3756,weaker
3931,1083,incomparable
3492,3665,weaker
541,4531,incomparable
2131,1293,weaker
2480,1447,incomparable
95,2724,weaker
2705,1565,equivalent
1540,71,equivalent
2760,1272,weaker
3056,102,incomparable
2706,4419,incomparable
294,1621,stronger
2317,3146,equivalent
4689,883,incomparable
1234,3936,incomparable
3954,4635,incomparable
3508,2828,stronger
2273,595,stronger
473,805,stronger
2038,4670,incomparable
3666,1724,incomparable
12,2847,weaker
330,1436,stronger
4518,1186,stronger
2035,2120,stronger
2900,878,stronger
1544,2822,equivalent
2320,2289,weaker
4178,2249,incomparable
2975,4435,weaker
1738,1375,stronger
4389,2469,incomparable
3771,3588,weaker
3840,3193,incomparable
1222,3710,weaker
3448,1622,stronger
1230,1319,stronger
2704,4322,weaker
1294,2243,weaker
1991,2171,equivalent
409,1328,incomparable
3571,3126,incomparable
4648,1767,incomparable
245,1863,weaker
1828,3870,weaker
2063,4676,incomparable
191,3320,weaker
3221,2747,equivalent
3976,4343,incomparable
1154,2613,stronger
3394,2675,incomparable
3590,4307,weaker
986,2248,weaker
2101,1935,stronger
1953,3757,incomparable
4248,2964,incomparable
2605,1468,incomparable
3983,37,stronger
2434,1586,weaker
1233,4599,incomparable
4206,3492,weaker
4302,3200,stronger
1205,2551,equivalent
1494,210,incomparable
2712,776,stronger
1251,452,incomparable
41,3911,weaker
31,3223,stronger
4411,3143,incomparable
2468,3799,incomparable
1076,3080,incomparable
4039,1285,incomparable
4190,3898,weaker
155,4198,incomparable
1196,1684,weaker
547,3490,weaker
4224,284,stronger
1653,1371,stronger
3678,1279,incomparable
4094,4375,incomparable
751,287,equivalent
3330,3979,incomparable
54,1113,incomparable
1807,2777,equivalent
4639,499,stronger
4532,1568,stronger
4678,3837,incomparable
2083,3584,incomparable
3267,2876,incomparable
2742,776,equivalent
4643,618,incomparable
2420,725,incomparable
4214,4642,weaker
1153,1206,equivalent
2015,447,weaker
862,4440,weaker
2959,1942,equivalent
1216,2686,weaker
3160,3918,weaker
3671,458,incomparable
3344,63,incomparable
1527,858,weaker
4581,679,incomparable
2356,4123,weaker
3720,2794,stronger
1516,2197,stronger
697,1340,weaker
1246,2336,stronger
1478,1905,stronger
614,3557,incomparable
65,4281,incomparable
333,1817,stronger
1024,422,weaker
2006,2963,equivalent
2419,2378,equivalent
3081,1531,incomparable
1677,1741,stronger
3645,3559,weaker
2905,551,stronger
1554,2839,equivalent
3039,1305,stronger
2359,1546,stronger
2660,720,stronger
2116,1788,stronger
872,1,weaker
4444,1697,incomparable
3601,254,stronger
2040,2732,stronger
1560,2095,stronger
2406,3055,incomparable
3782,2517,incomparable
4544,2086,incomparable
4095,762,stronger
3066,95,stronger
2474,2435,incomparable
3828,418,incomparable
2764,3702,weaker
3679,295,stronger
2760,2240,weaker
322,4445,incomparable
2034,2136,equivalent
599,781,equivalent
3857,2287,incomparable
2322,2014,incomparable
2790,1890,weaker
4316,357,stronger
324,2239,stronger
3953,305,stronger
1182,2270,weaker
955,3045,stronger
2918,4519,weaker
2813,3005,equivalent
2001,875,weaker
1249,1048,incomparable
2837,1147,equivalent
920,3990,weaker
3616,885,incomparable
3707,249,stronger
1668,2163,incomparable
2713,2020,equivalent
2386,1625,equivalent
2357,695,weaker
2804,2138,stronger
8,3881,incomparable
3015,2358,stronger
3146,2841,weaker
2528,3960,weaker
23,971,stronger
3204,3011,weaker
2127,3616,incomparable
962,2122,stronger
2547,38,weaker
590,4236,weaker
3828,2646,incomparable
2391,2908,equivalent
4688,3504,incomparable
2207,1101,incomparable
388,1069,incomparable
1904,1100,stronger
1613,362,incomparable
1231,68,incomparable
3044,4227,incomparable
1778,2681,weaker
57,3184,incomparable
1318,4386,incomparable
3342,1440,incomparable
1559,1065,weaker
1144,823,weaker
1295,992,stronger
4581,4546,incomparable
3079,1969,stronger
1312,2127,incomparable
178,2198,equivalent
2406,3189,stronger
2349,403,incomparable
4539,4320,weaker
2672,3308,incomparable
2125,695,incomparable
2350,3257,weaker
2056,2810,stronger
4112,311,incomparable
3566,3750,stronger
1023,3687,incomparable
2988,3544,weaker
689,2121,equivalent
980,607,equivalent
372,2414,stronger
1230,4165,incomparable
1061,946,stronger
3960,4054,equivalent
1130,551,equivalent
2826,4125,incomparable
3229,2852,weaker
2287,3847,incomparable
1275,2595,stronger
1436,3452,incomparable
1868,3863,incomparable
3618,1092,incomparable
784,3297,weaker
3349,3119,stronger
1129,4463,incomparable
1683,1639,weaker
2667,4253,incomparable
3021,55,weaker
2575,4664,incomparable
672,3995,incomparable
3707,3766,stronger
3406,4592,weaker
1307,2291,incomparable
23,3549,incomparable
785,3118,weaker
2748,4592,weaker
754,1553,equivalent
3796,3057,incomparable
2624,4556,weaker
1825,2631,equivalent
1978,3627,weaker
3800,3176,incomparable
1842,2800,stronger
2444,2868,incomparable
3039,4017,incomparable
62,3662,incomparable
881,4519,weaker
224,48,incomparable
3684,749,incomparable
4289,3340,stronger
2691,301,stronger
2257,3981,incomparable
1386,490,equivalent
44,2332,stronger
2108,3858,weaker
303,3724,weaker
530,505,equivalent
3945,497,stronger
2747,3027,equivalent
3652,2904,stronger
73,4201,incomparable
1389,1138,equivalent
735,2600,stronger
2552,1805,stronger
861,2739,incomparable
3180,3848,incomparable
485,2425,weaker
2569,3694,weaker
2813,2334,equivalent
3938,2709,incomparable
3475,733,stronger
4103,2022,stronger
3661,1677,incomparable
1604,2231,equivalent
2554,3571,incomparable
117,4658,incomparable
3534,3033,stronger
4678,3650,stronger
872,1558,incomparable
2293,763,stronger
994,3241,stronger
832,4603,incomparable
4213,1601,stronger
3905,1256,incomparable
847,3945,incomparable
3942,3767,stronger
294,763,stronger
1956,3063,weaker
1966,3751,incomparable
2475,3628,incomparable
223,2051,weaker
3388,1114,stronger
3911,3141,stronger
3095,2555,stronger
1051,4125,incomparable
4036,2089,incomparable
290,240,stronger
4400,3305,incomparable
3292,2345,stronger
2354,76,equivalent
702,2436,equivalent
368,3314,incomparable
1509,1970,weaker
1806,3654,incomparable
2585,3392,weaker
1737,1605,equivalent
1133,2622,stronger
1145,1693,equivalent
651,1158,incomparable
859,4305,incomparable
2643,1118,equivalent
1602,1380,equivalent
2863,3336,incomparable
4112,3023,stronger
2123,328,weaker
3754,3315,weaker
3210,4383,incomparable
827,2323,stronger
4304,3193,incomparable
448,3458,weaker
3839,2864,incomparable
3376,888,stronger
363,876,stronger
1686,3710,weaker
915,3833,weaker
2419,2541,weaker
1309,1508,equivalent
4528,3840,stronger
4323,4374,weaker
3368,246,incomparable
1416,3068,weaker
3030,3634,weaker
3904,226,stronger
1333,3033,equivalent
1190,281,weaker
2327,3891,incomparable
703,2637,stronger
4087,3316,incomparable
1835,1739,stronger
2215,1206,equivalent
3540,703,incomparable
1143,2909,weaker
1262,4321,incomparable
1822,2443,weaker
4086,3091,incomparable
2699,2716,incomparable
4471,1212,incomparable
3347,3691,weaker
4147,334,stronger
2927,3105,weaker
3777,3275,incomparable
1072,1164,stronger
2672,1832,incomparable
2708,1489,weaker
139,959,equivalent
1245,1092,incomparable
1527,4188,weaker
560,235,equivalent
4565,3476,incomparable
496,2694,weaker
2953,1293,weaker
1179,472,equivalent
193,441,weaker
2359,554,weaker
2278,3598,incomparable
210,610,stronger
440,1072,incomparable
1238,1052,incomparable
575,4680,incomparable
4496,114,incomparable
860,877,stronger
2407,221,weaker
4535,42,incomparable
2887,1612,stronger
15,2771,equivalent
3535,4277,incomparable
1326,118,weaker
1231,3264,incomparable
2127,1335,stronger
2376,4291,incomparable
2240,1212,incomparable
380,425,incomparable
3688,4492,incomparable
3184,263,weaker
603,662,incomparable
114,1437,incomparable
4114,170,incomparable
456,4584,weaker
3766,2870,incomparable
2221,1909,equivalent
3995,478,stronger
3360,2182,incomparable
801,1586,weaker
2255,739,stronger
794,415,weaker
4059,1402,stronger
611,3182,weaker
1402,4435,weaker
3386,370,weaker
2320,2265,weaker
2084,4240,incomparable
3273,3876,incomparable
2091,2967,stronger
2056,3912,incomparable
3336,1192,incomparable
1875,1622,stronger
607,2659,weaker
3093,2188,stronger
2420,1156,stronger
3375,2840,stronger
4149,4678,incomparable
2490,3615,incomparable
3582,1598,incomparable
495,3357,incomparable
1880,653,incomparable
1367,3286,weaker
2704,1854,weaker
2019,997,stronger
2318,98,stronger
3605,269,incomparable
3861,1952,stronger
552,858,weaker
2160,3861,weaker
849,3481,incomparable
4493,3333,incomparable
1148,2582,equivalent
1664,3630,incomparable
4212,839,incomparable
4358,3108,incomparable
2384,2973,weaker
3134,1973,stronger
2380,2265,weaker
1964,135,stronger
993,1890,weaker
1879,3969,incomparable
3670,1953,incomparable
3352,3364,incomparable
3678,4288,incomparable
466,683,stronger
2217,3964,incomparable
605,1027,weaker
1245,421,incomparable
2446,1572,stronger
4247,4216,weaker
2464,3841,incomparable
2003,1002,equivalent
1447,2999,stronger
1015,2588,weaker
3124,3887,weaker
2613,931,stronger
30,4667,weaker
166,1330,stronger
2213,3441,weaker
1169,776,equivalent
4188,3986,equivalent
124,3548,incomparable
2058,4092,incomparable
2615,2697,weaker
2193,1284,equivalent
4297,3929,incomparable
3418,577,stronger
1976,495,weaker
1396,1906,equivalent
916,1269,incomparable
425,3661,incomparable
2680,59,stronger
2263,3154,stronger
876,1089,equivalent
456,3913,incomparable
573,1280,equivalent
2185,1019,equivalent
4247,2472,incomparable
2537,3164,equivalent
3736,3488,incomparable
2091,1357,incomparable
3111,3436,weaker
1781,377,weaker
912,1685,incomparable
4019,3776,weaker
3126,526,stronger
2429,598,weaker
1140,3764,weaker
710,2490,weaker
2286,2764,stronger
1862,4688,incomparable
4520,2257,incomparable
4597,2477,incomparable
786,233,stronger
3100,244,stronger
2107,2240,incomparable
715,1521,weaker
391,643,incomparable
1034,3718,incomparable
4263,4294,incomparable
1794,208,weaker
438,2152,incomparable
2886,4607,incomparable
3750,511,incomparable
739,1326,equivalent
687,2856,weaker
4061,2847,incomparable
1287,2097,weaker
1789,3247,stronger
2582,2883,weaker
217,3846,incomparable
4167,4182,stronger
2455,75,incomparable
3458,3493,stronger
2415,1430,incomparable
4655,738,stronger
2174,2307,equivalent
2695,3699,incomparable
2733,3991,incomparable
709,521,stronger
1597,983,equivalent
3057,116,stronger
304,243,equivalent
3533,4017,stronger
1704,2543,weaker
417,120,incomparable
3261,3329,stronger
4293,507,stronger
1177,3780,weaker
4320,3084,incomparable
2152,2898,incomparable
4053,2740,stronger
746,2281,incomparable
1260,2502,stronger
4305,3715,incomparable
2825,897,weaker
1359,229,weaker
1825,968,weaker
2921,4577,weaker
4511,1339,stronger
2742,3114,equivalent
2086,1497,stronger
4692,2848,incomparable
153,2117,stronger
4604,749,incomparable
1777,927,equivalent
3034,1421,stronger
59,1701,incomparable
164,963,stronger
2091,2780,stronger
4506,2843,stronger
3895,2689,incomparable
519,373,weaker
3160,779,equivalent
3229,384,weaker
3578,1292,stronger
2330,2015,stronger
2657,158,incomparable
4028,3972,weaker
554,367,weaker
755,2343,weaker
2155,4643,weaker
978,1826,incomparable
1255,414,incomparable
1313,3802,incomparable
4446,698,incomparable
2044,2560,stronger
2615,3315,weaker
4017,2278,incomparable
4170,3274,weaker
2520,45,weaker
2236,286,weaker
2721,2021,equivalent
3223,3171,weaker
2935,1950,equivalent
1937,3602,incomparable
3,614,weaker
3482,2119,incomparable
3970,1119,incomparable
4042,995,stronger
671,4685,weaker
688,4100,weaker
3078,723,incomparable
2947,1960,stronger
2575,102,incomparable
2922,4347,weaker
2977,4054,incomparable
4484,2279,incomparable
98,1790,weaker
2104,3900,weaker
2843,4239,weaker
3586,4512,weaker
470,615,weaker
1752,3448,weaker
3524,1190,stronger
129,322,weaker
2095,3033,equivalent
1092,4341,incomparable
1637,2155,stronger
1904,55,incomparable
1532,4613,weaker
3676,1961,stronger
3359,2254,incomparable
4661,4019,stronger
1373,3802,weaker
2140,1463,incomparable
1147,3459,weaker
2855,3660,incomparable
2714,2489,incomparable
1788,1011,equivalent
4518,2398,incomparable
2085,2695,equivalent
404,907,incomparable
402,4244,equivalent
4164,1119,incomparable
4439,3044,incomparable
1822,780,equivalent
834,3120,incomparable
2885,277,stronger
3812,2357,stronger
4430,1238,incomparable
4201,4384,weaker
4457,3815,incomparable
3151,396,weaker
1086,3341,incomparable
1635,4337,incomparable
1633,3510,incomparable
685,553,equivalent
1311,3459,weaker
67,1672,weaker
1898,775,incomparable
1886,1704,equivalent
2672,169,incomparable
4091,2711,stronger
3654,2710,incomparable
1749,652,weaker
3943,4533,incomparable
4657,3122,incomparable
696,153,weaker
1439,4398,incomparable
893,4639,incomparable
951,4055,weaker
927,3469,weaker
2637,4497,weaker
2804,1227,incomparable
2737,5,incomparable
718,851,weaker
1987,416,weaker
1459,2017,stronger
108,4305,incomparable
2933,294,weaker
818,1432,incomparable
3712,32,stronger
11,4372,incomparable
1344,724,stronger
98,2274,weaker
418,1498,incomparable
3047,581,equivalent
1777,3989,weaker
3587,2023,stronger
256,1170,stronger
1715,667,weaker
1400,1787,stronger
2705,817,weaker
3128,1674,incomparable
4427,3168,stronger
2980,2742,equivalent
2283,3568,incomparable
4616,3821,stronger
550,2556,equivalent
101,1232,incomparable
1496,3188,incomparable
4064,4247,equivalent
2166,3168,equivalent
292,985,weaker
4534,3415,stronger
2791,4159,incomparable
1466,1252,incomparable
4422,730,stronger
1249,2715,stronger
1969,3004,equivalent
3984,504,incomparable
4584,2189,stronger
2356,1952,equivalent
3789,228,incomparable
2906,4082,weaker
602,2315,equivalent
1793,2778,incomparable
1211,3362,weaker
4287,3888,incomparable
3691,2322,incomparable
410,832,incomparable
3940,3026,stronger
1323,3768,incomparable
2121,2994,weaker
4423,3934,incomparable
848,277,stronger
1204,3322,weaker
2188,2526,equivalent
405,2151,stronger
2900,4452,incomparable
3958,3605,stronger
2031,1788,equivalent
341,4610,weaker
2014,2373,incomparable
2762,546,weaker
969,1735,equivalent
1848,2835,stronger
726,1977,weaker
3902,3673,incomparable
3326,130,stronger
2956,1351,stronger
1240,2198,stronger
4201,330,weaker
1116,2162,weaker
3824,3790,weaker
3175,3344,weaker
2932,176,weaker
2863,2291,incomparable
3496,3924,incomparable
3138,4216,weaker
4117,2322,incomparable
3253,2,stronger
2155,4456,weaker
4020,2389,incomparable
1802,2840,equivalent
2552,3338,incomparable
2442,1480,incomparable
615,1587,incomparable
3684,188,stronger
1251,2737,incomparable
2600,376,weaker
4308,3021,stronger
4387,870,incomparable
4170,3087,incomparable
2731,2522,weaker
1759,3143,incomparable
2521,2712,weaker
175,3917,weaker
1319,2090,weaker
4359,2205,stronger
2654,3241,stronger
4400,516,incomparable
3899,2220,stronger
2576,140,stronger
3716,3267,incomparable
1493,2620,equivalent
4614,4417,incomparable
3062,2477,incomparable
111,899,stronger
2031,983,equivalent
3278,3041,stronger
2461,567,stronger
635,1808,stronger
64,2773,equivalent
788,360,weaker
3668,3226,stronger
2372,495,incomparable
256,499,stronger
1539,2214,stronger
4238,2036,incomparable
1891,3605,weaker
48,3179,stronger
3460,3462,incomparable
10,443,incomparable
2496,3944,incomparable
4058,4320,weaker
3036,1414,equivalent
140,3707,weaker
1752,228,weaker
2473,3960,incomparable
3560,4043,equivalent
1354,1121,equivalent
1901,3734,weaker
2699,2960,stronger
920,4047,weaker
3079,737,stronger
551,2460,weaker
709,3046,stronger
2053,341,incomparable
4434,1574,stronger
3431,2882,incomparable
2837,2143,equivalent
619,1840,incomparable
3616,1881,incomparable
2955,2364,weaker
1446,306,stronger
4223,2293,incomparable
1664,2451,stronger
2150,4596,weaker
567,2589,equivalent
3296,3596,stronger
216,1608,incomparable
1434,2174,stronger
3824,1241,incomparable
4178,4213,weaker
255,1536,stronger
81,1383,weaker
3176,1959,stronger
328,1260,incomparable
3715,3176,stronger
2734,4243,incomparable
1612,4139,weaker
4270,1708,stronger
3530,1144,stronger
2033,4546,weaker
2485,3889,incomparable
4383,1770,stronger
1747,2462,weaker
245,1383,weaker
704,1897,incomparable
3476,3540,incomparable
1177,2117,equivalent
1719,4386,incomparable
3713,1009,incomparable
516,2600,stronger
1653,2046,incomparable
4203,82,incomparable
1221,3355,weaker
3838,2586,incomparable
4583,1242,incomparable
2286,4618,incomparable
4304,1827,stronger
2864,2380,stronger
3817,19,incomparable
1133,2195,stronger
3748,1380,stronger
1050,440,incomparable
1464,3463,weaker
4272,599,stronger
2857,4592,incomparable
2403,2924,equivalent
1704,2169,weaker
916,1379,stronger
1931,3114,stronger
2165,1066,incomparable
4200,4106,incomparable
3699,148,stronger
4265,559,stronger
3831,3485,weaker
150,2785,equivalent
1616,1009,weaker
2785,3376,weaker
4134,261,incomparable
4041,4234,weaker
259,2728,incomparable
1496,4290,incomparable
1957,4685,weaker
3115,1036,incomparable
2208,2052,weaker
1366,4217,weaker
3104,123,equivalent
1989,1190,equivalent
1113,3771,incomparable
755,4063,weaker
1503,2236,equivalent
4132,1319,stronger
374,4371,incomparable
1611,1015,equivalent
2509,2165,weaker
1191,4593,weaker
1809,3474,weaker
2022,4521,weaker
976,2719,equivalent
294,3853,incomparable
3785,457,incomparable
4449,3655,stronger
3045,4619,weaker
4440,2603,stronger
2320,2643,equivalent
1723,4639,weaker
1796,3397,weaker
4358,1258,incomparable
2589,3033,equivalent
1370,2242,incomparable
3445,3957,equivalent
1640,3823,incomparable
1463,743,stronger
3859,3008,incomparable
2515,1771,equivalent
1056,2082,incomparable
101,4562,incomparable
2566,3988,weaker
145,1636,weaker
4334,1022,incomparable
4547,2069,incomparable
2790,2915,weaker
961,2195,weaker
4,3848,incomparable
59,3555,incomparable
1786,3998,weaker
1380,3310,weaker
3436,811,incomparable
2183,1190,equivalent
1904,1775,stronger
312,2688,incomparable
3056,3973,incomparable
2213,2530,weaker
86,2345,stronger
2916,3404,weaker
373,3341,incomparable
2632,3645,weaker
359,4197,incomparable
204,122,stronger
2743,2695,incomparable
1320,2663,incomparable
1743,1268,weaker
788,3556,weaker
1457,682,stronger
1677,2900,incomparable
673,3983,weaker
4250,1859,incomparable
3336,4148,stronger
977,2674,incomparable
1225,4496,incomparable
4002,2511,incomparable
760,2447,weaker
3170,4610,weaker
498,195,equivalent
4393,3830,stronger
1855,1859,stronger
1884,2597,stronger
1526,637,incomparable
2049,2664,equivalent
4007,3794,incomparable
4363,2675,incomparable
2568,3229,equivalent
3296,2470,incomparable
2852,544,stronger
271,189,stronger
596,4675,weaker
1690,2731,equivalent
3211,3860,incomparable
4558,110,incomparable
1738,2213,stronger
1903,3778,weaker
4384,2963,stronger
2949,1608,incomparable
177,4691,incomparable
1858,2315,stronger
3466,1346,stronger
4342,2737,incomparable
4565,4472,weaker
4149,3096,incomparable
2287,2428,stronger
2144,3840,incomparable
3851,1187,stronger
1476,3152,incomparable
885,2684,incomparable
4572,166,incomparable
3715,2989,stronger
1927,3024,incomparable
2574,391,weaker
2410,3178,stronger
2735,1248,weaker
3337,3568,stronger
152,1786,stronger
2901,4169,weaker
4186,3513,weaker
3649,2342,stronger
2713,4118,weaker
1307,4255,incomparable
2718,2772,equivalent
3220,3168,equivalent
3600,3389,stronger
2693,4405,incomparable
694,1022,incomparable
1585,3445,weaker
2013,4646,weaker
1416,226,equivalent
3744,135,stronger
3484,962,incomparable
1285,709,incomparable
3060,2886,incomparable
4242,3795,equivalent
